0	6
0	17
0	15
0	19
0	9
0	24
0	45
1	14
1	16
1	48
1	24
1	25
1	38
1	35
1	47
1	49
1	40
1	41
2	40
2	18
2	19
2	10
2	32
2	46
3	15
3	16
3	23
3	49
3	24
3	14
3	33
3	26
3	40
3	10
4	5
4	19
4	36
5	19
5	32
5	33
5	43
5	21
5	30
5	27
5	13
6	34
6	27
6	7
6	23
6	49
6	38
7	43
7	33
7	46
7	19
7	48
7	23
7	49
7	14
8	45
8	9
8	47
8	25
8	22
9	25
9	29
9	27
9	41
9	23
10	43
10	47
10	11
11	17
11	43
11	47
11	29
11	41
11	14
11	30
12	22
12	27
12	47
12	36
12	32
13	17
13	49
13	35
13	46
13	23
13	44
13	22
14	27
14	44
15	49
15	24
15	27
15	30
16	31
16	18
16	43
16	41
17	37
17	41
17	33
18	42
18	32
18	45
19	38
19	32
19	42
19	44
19	34
20	23
20	44
20	31
20	48
21	26
21	44
21	30
21	42
21	47
21	23
21	32
21	38
22	33
22	23
22	48
22	39
23	46
23	32
23	33
23	27
24	31
24	25
24	46
24	42
24	44
25	36
25	33
25	43
25	47
25	40
25	39
25	27
26	49
26	27
26	34
26	32
26	42
26	39
26	28
26	43
27	29
27	39
27	30
28	37
28	34
29	36
29	49
29	38
29	41
30	35
30	43
31	37
31	42
31	47
31	35
32	46
32	47
32	45
33	34
33	40
33	39
34	44
34	48
34	37
35	47
35	45
36	42
36	38
36	49
36	48
37	49
38	40
38	39
39	45
39	43
40	43
40	41
40	42
40	46
41	44
41	46
41	42
42	43
42	45
45	49
45	47
47	49
48	49
